"LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","QV2M","T2M","T2MWET","WS2M","ALLSKY_SFC_UV_INDEX","T2MDEW","TS","ALLSKY_SFC_UVB","ALLSKY_SFC_UVA","T2M_RANGE","RH2M","CLRSKY_SFC_SW_DWN"
-97.697313,30.251707,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.672401,30.328069,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.721013,30.236494,2023,3,22,81,2023-03-22,13.12,23.22,20.69,4.31,1.48,18.15,23.93,0.29,10.85,11.98,76.5,6.62
-97.719236,30.373732,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.740475,30.279196,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.693197,30.333648,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.83946,30.199823,2023,3,22,81,2023-03-22,13,22.43,20.11,4.24,1.48,17.8,23.18,0.29,10.85,12.06,78.12,6.62
-97.719969,30.383929,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.72322,30.387013,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.660723,30.439117,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.789446,30.13716,2023,3,22,81,2023-03-22,13.12,23.22,20.69,4.31,1.48,18.15,23.93,0.29,10.85,11.98,76.5,6.62
-97.658664,30.391445,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.730039,30.269495,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.7159,30.27021,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.708826,30.395613,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.744138,30.283035,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.789693,30.463564,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.755153,30.276563,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.742085,30.308159,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.760061,30.433813,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.77588,30.281884,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.709977,30.39783,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.70089,30.228943,2023,3,22,81,2023-03-22,13.12,23.22,20.69,4.31,1.48,18.15,23.93,0.29,10.85,11.98,76.5,6.62
-97.743679,30.287586,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
-97.705623,30.285099,2023,3,22,81,2023-03-22,13,23.23,20.59,4.73,1.48,17.96,23.87,0.29,10.85,11.51,75.44,6.62
