time_stamp,humidity,temperature,pressure,pm2.5_alt,pm2.5_atm,sensor_index,latitude,longitude,altitude
2024-03-13T00:00:00Z,55.833,77.278,986.196,4.0,6.0920000000000005,2796,30.276873,-97.83731,726
2024-03-13T18:00:00Z,48.45,86.983,980.665,8.2,13.18,2796,30.276873,-97.83731,726
2024-01-29T00:00:00Z,47.415,59.556,1000.93,2.6,3.7595,2796,30.276873,-97.83731,726
2024-01-29T18:00:00Z,24.055,82.328,997.01,1.0,0.9019999999999999,2796,30.276873,-97.83731,726
2024-02-11T12:00:00Z,65.228,64.372,981.489,0.8,0.535,2796,30.276873,-97.83731,726
2024-02-11T06:00:00Z,72.828,65.45,978.456,6.2,9.758500000000002,2796,30.276873,-97.83731,726
2024-02-11T00:00:00Z,70.017,66.711,980.897,2.7,3.792,2796,30.276873,-97.83731,726
2024-02-29T12:00:00Z,37.717,53.094,998.558,2.4,3.4725,2796,30.276873,-97.83731,726
2024-02-12T00:00:00Z,56.732,57.388,986.96,1.9,2.4795,2796,30.276873,-97.83731,726
2024-02-12T18:00:00Z,29.924,69.379,991.461,1.3,1.2345000000000002,2796,30.276873,-97.83731,726
2024-03-03T18:00:00Z,44.856,85.339,983.604,10.9,18.096,2796,30.276873,-97.83731,726
2024-02-23T00:00:00Z,25.733,76.928,984.666,1.0,0.965,2796,30.276873,-97.83731,726
2024-02-15T00:00:00Z,53.978,68.711,993.084,2.5,3.5345,2796,30.276873,-97.83731,726
2024-03-11T18:00:00Z,30.455,79.639,993.398,2.4,3.4669999999999996,2796,30.276873,-97.83731,726
2024-03-07T12:00:00Z,66.195,74.9,982.6,11.9,19.8535,2796,30.276873,-97.83731,726
2024-03-07T00:00:00Z,53.061,78.633,983.291,11.3,18.920499999999997,2796,30.276873,-97.83731,726
2024-02-13T00:00:00Z,47.052,56.55,992.779,2.3,3.2015000000000002,2796,30.276873,-97.83731,726
2024-02-05T12:00:00Z,50.967,61.322,991.43,1.1,1.0715,2796,30.276873,-97.83731,726
2024-03-01T06:00:00Z,60.528,54.0,992.899,8.9,15.187999999999999,2796,30.276873,-97.83731,726
2024-02-28T06:00:00Z,61.072,76.261,982.473,16.4,27.1205,2796,30.276873,-97.83731,726
2024-03-04T06:00:00Z,67.261,75.544,983.676,14.6,24.383499999999998,2796,30.276873,-97.83731,726
2024-03-12T00:00:00Z,49.867,70.889,992.759,3.2,4.906499999999999,2796,30.276873,-97.83731,726
2024-03-12T12:00:00Z,63.683,70.3,991.062,8.9,14.684000000000001,2796,30.276873,-97.83731,726
2024-02-09T00:00:00Z,45.426,70.931,987.809,2.7,3.936,2796,30.276873,-97.83731,726
2024-02-09T06:00:00Z,51.35,69.967,986.58,4.5,6.8885000000000005,2796,30.276873,-97.83731,726
2024-01-27T00:00:00Z,66.861,62.883,990.344,15.0,24.3015,2796,30.276873,-97.83731,726
2024-02-03T06:00:00Z,66.155,66.8,978.093,1.2,1.1244999999999998,2796,30.276873,-97.83731,726
2024-01-30T06:00:00Z,50.022,57.178,996.378,2.6,3.8945,2796,30.276873,-97.83731,726
2024-01-26T12:00:00Z,71.772,57.9,989.499,7.9,12.789,2796,30.276873,-97.83731,726
2024-02-27T06:00:00Z,69.817,74.139,981.464,16.7,26.944499999999998,2796,30.276873,-97.83731,726
2024-02-06T06:00:00Z,57.806,52.961,993.797,7.2,12.355,2796,30.276873,-97.83731,726
2024-02-06T00:00:00Z,49.639,62.433,992.97,9.4,15.853000000000002,2796,30.276873,-97.83731,726
2024-02-08T18:00:00Z,36.844,80.283,987.446,3.0,4.2765,2796,30.276873,-97.83731,726
2024-02-20T06:00:00Z,53.758,59.078,994.274,5.7,9.329,2796,30.276873,-97.83731,726
2024-02-25T00:00:00Z,30.267,74.133,991.827,2.4,3.015,2796,30.276873,-97.83731,726
