time_stamp,humidity,temperature,pressure,pm2.5_alt,pm2.5_atm,sensor_index,latitude,longitude,altitude
2024-04-23T06:00:00Z,60.901,65.367,990.632,2.7,3.8405000000000005,2796,30.276873,-97.83731,726
2024-04-24T00:00:00Z,61.934,78.012,988.728,5.2,8.293,2796,30.276873,-97.83731,726
2024-03-17T06:00:00Z,69.906,70.311,985.197,3.4,4.935499999999999,2796,30.276873,-97.83731,726
2024-05-02T00:00:00Z,76.239,78.078,980.274,8.0,12.9275,2796,30.276873,-97.83731,726
2024-04-21T12:00:00Z,54.205,64.417,998.131,2.8,3.9989999999999997,2796,30.276873,-97.83731,726
2024-04-29T06:00:00Z,72.733,80.378,983.103,17.2,28.207,2796,30.276873,-97.83731,726
2024-04-29T18:00:00Z,37.528,93.789,983.495,8.5,12.9855,2796,30.276873,-97.83731,726
2024-04-13T18:00:00Z,42.328,84.2,991.958,2.5,3.4715,2796,30.276873,-97.83731,726
2024-03-22T18:00:00Z,34.811,85.15,984.47,1.6,1.795,2796,30.276873,-97.83731,726
2024-03-18T00:00:00Z,63.172,68.461,989.557,9.4,15.9835,2796,30.276873,-97.83731,726
2024-03-18T06:00:00Z,45.156,64.889,992.493,3.3,5.045,2796,30.276873,-97.83731,726
2024-03-27T00:00:00Z,40.461,64.889,986.799,2.6,3.8449999999999998,2796,30.276873,-97.83731,726
2024-03-27T06:00:00Z,49.722,59.922,988.579,2.2,3.093,2796,30.276873,-97.83731,726
2024-03-26T12:00:00Z,31.7,66.178,987.553,1.3,1.319,2796,30.276873,-97.83731,726
2024-03-26T18:00:00Z,25.672,78.022,985.237,1.3,1.4140000000000001,2796,30.276873,-97.83731,726
2024-04-14T18:00:00Z,47.394,86.917,987.18,5.1,7.894499999999999,2796,30.276873,-97.83731,726
2024-04-14T12:00:00Z,64.456,76.156,990.439,5.9,9.515,2796,30.276873,-97.83731,726
2024-04-09T06:00:00Z,71.939,79.872,979.285,21.0,33.0565,2796,30.276873,-97.83731,726
2024-04-18T06:00:00Z,68.289,79.856,985.481,12.4,20.656,2796,30.276873,-97.83731,726
2024-03-19T00:00:00Z,40.183,65.017,997.959,2.8,3.9924999999999997,2796,30.276873,-97.83731,726
2024-03-25T00:00:00Z,65.378,73.5,973.22,5.0,7.7705,2796,30.276873,-97.83731,726
2024-03-25T06:00:00Z,65.55,73.039,972.212,5.4,8.313500000000001,2796,30.276873,-97.83731,726
