time_stamp,humidity,temperature,pressure,pm2.5_alt,pm2.5_atm,sensor_index,latitude,longitude,altitude
2024-10-25T18:00:00Z,34.911,93.867,991.793,1.2,0.3875,2796,30.276873,-97.83731,726
2024-10-27T06:00:00Z,53.978,77.328,995.458,3.1,4.475,2796,30.276873,-97.83731,726
2024-10-27T00:00:00Z,47.767,83.311,995.229,3.2,4.431,2796,30.276873,-97.83731,726
2024-10-27T12:00:00Z,44.094,88.189,995.767,2.5,2.9105,2796,30.276873,-97.83731,726
2024-10-31T00:00:00Z,53.283,85.967,987.03,2.9,3.92,2796,30.276873,-97.83731,726
2024-10-23T06:00:00Z,62.733,75.667,992.287,2.4,3.285,2796,30.276873,-97.83731,726
2024-10-19T00:00:00Z,49.372,78.222,995.66,1.6,1.929,2796,30.276873,-97.83731,726
2024-10-24T00:00:00Z,45.45,83.128,991.368,2.6,3.6239999999999997,2796,30.276873,-97.83731,726
2024-10-24T18:00:00Z,35.334,93.005,987.651,2.0,1.7285,2796,30.276873,-97.83731,726
2024-10-21T18:00:00Z,34.344,89.924,992.216,2.1,2.0815,2796,30.276873,-97.83731,726
2024-10-28T06:00:00Z,57.133,76.139,991.933,3.1,4.4915,2796,30.276873,-97.83731,726
2024-10-28T00:00:00Z,43.139,85.772,992.268,2.8,3.972,2796,30.276873,-97.83731,726
2024-10-28T12:00:00Z,57.989,81.15,992.794,4.4,6.701499999999999,2796,30.276873,-97.83731,726
2024-10-18T12:00:00Z,49.572,70.65,995.707,3.2,4.727,2796,30.276873,-97.83731,726
2024-10-20T18:00:00Z,30.767,89.567,996.693,4.1,5.8805,2796,30.276873,-97.83731,726
2024-10-20T12:00:00Z,46.65,78.672,999.97,3.9,6.1005,2796,30.276873,-97.83731,726
2024-10-22T18:00:00Z,38.806,92.511,991.46,2.1,1.94,2796,30.276873,-97.83731,726
2024-10-22T00:00:00Z,47.917,81.144,991.835,2.7,3.9659999999999997,2796,30.276873,-97.83731,726
2024-10-29T06:00:00Z,67.35,79.645,988.699,6.4,10.3305,2796,30.276873,-97.83731,726
2024-10-29T18:00:00Z,42.567,90.067,986.012,3.1,3.8789999999999996,2796,30.276873,-97.83731,726
2024-10-29T00:00:00Z,54.511,83.555,989.075,3.9,5.8774999999999995,2796,30.276873,-97.83731,726
2024-10-30T12:00:00Z,61.689,83.745,988.653,3.6,5.088,2796,30.276873,-97.83731,726
2024-10-30T00:00:00Z,56.227,83.122,987.053,3.1,4.5165,2796,30.276873,-97.83731,726
2024-10-30T06:00:00Z,66.261,80.55,986.959,3.6,5.2535,2796,30.276873,-97.83731,726
2024-10-30T18:00:00Z,42.022,92.644,985.722,2.3,2.2325,2796,30.276873,-97.83731,726
2024-10-26T12:00:00Z,48.033,84.911,997.856,1.9,2.096,2796,30.276873,-97.83731,726
2024-10-26T00:00:00Z,45.667,82.978,993.74,2.3,2.9665,2796,30.276873,-97.83731,726
2024-10-26T18:00:00Z,31.389,97.506,994.602,1.3,0.594,2796,30.276873,-97.83731,726
2024-10-25T00:00:00Z,42.523,83.143,988.386,1.7,1.9305,2796,30.276873,-97.83731,726
2024-10-25T12:00:00Z,49.35,87.044,992.535,1.8,1.7545000000000002,2796,30.276873,-97.83731,726
2024-10-25T06:00:00Z,63.239,78.083,989.342,2.8,4.045,2796,30.276873,-97.83731,726
2024-10-27T18:00:00Z,32.206,96.45,991.753,2.3,2.2855,2796,30.276873,-97.83731,726
2024-10-31T12:00:00Z,55.067,84.839,990.209,4.7,7.0175,2796,30.276873,-97.83731,726
2024-10-31T18:00:00Z,33.333,88.439,988.761,3.8,5.498,2796,30.276873,-97.83731,726
2024-10-31T06:00:00Z,64.744,82.372,987.456,5.2,7.8965,2796,30.276873,-97.83731,726
2024-10-23T12:00:00Z,49.005,86.472,994.201,2.2,2.4305,2796,30.276873,-97.83731,726
2024-10-23T18:00:00Z,33.555,94.406,991.2,1.7,1.2530000000000001,2796,30.276873,-97.83731,726
2024-10-23T00:00:00Z,50.295,81.966,991.957,2.9,4.186,2796,30.276873,-97.83731,726
2024-10-19T06:00:00Z,60.111,72.556,996.82,2.5,3.4530000000000003,2796,30.276873,-97.83731,726
