SPECIES,DIAMETER,LONGITUDE,LATITUDE
Oak,13.0,-97.7066799997654,30.229505999932822
Oak,11.0,-97.7067900001927,30.229559999852604
Oak,10.0,-97.70714200027146,30.229653000179006
Elm,8.5,-97.70657700005393,30.229653999997744
Elm,8.0,-97.70686200020664,30.22966300012648
Oak,9.0,-97.70744699983514,30.229667000207954
Oak,9.0,-97.70738999997629,30.229698000211474
Elm,7.0,-97.70688400048378,30.229699999872192
Elm,8.0,-97.70673200008756,30.22970399963728
Elm,6.0,-97.70683200016416,30.22970500000386
Elm,7.0,-97.70672499974692,30.229737000132864
Oak,10.0,-97.70740000040641,30.229777999647
Gum Bumelia,16.0,-97.70745499984244,30.229856999648597
Elm,10.0,-97.7065160000476,30.229870000391028
Oak,12.0,-97.70652499997615,30.229991000022153
Elm,7.0,-97.70666499995313,30.230021000210716
Elm,9.0,-97.70681800014657,30.230024999556477
Elm,11.0,-97.70673999952363,30.23005799954315
Elm,7.0,-97.706658999888,30.230061999757506
Elm,9.0,-97.70688799950383,30.230079000223245
Mesquite,14.0,-97.70727699985164,30.230095999945398
Elm,9.0,-97.70682099981104,30.23009699966597
Redbud,6.0,-97.70701400004673,30.230117000093184
Mesquite,15.0,-97.70725999969328,30.23011899957895
Elm,7.0,-97.70706100034762,30.230140999806736
Elm,9.0,-97.70704199972843,30.23018199989009
Elm,9.0,-97.70706700023553,30.230189000382747
Oak,11.0,-97.70664699960754,30.230242999694585
Elm,9.0,-97.70672300001978,30.230279999707786
Oak,3.0,-97.70645200032567,30.230289000395533
Redbud,8.0,-97.70711199994138,30.23029200001001
Elm,8.0,-97.7067860000185,30.23029800038458
Oak,9.0,-97.70664600006363,30.230305999914968
Oak,10.0,-97.70690500049594,30.230322000390014
Oak,10.0,-97.70670799950925,30.23033499955522
Mesquite,38.0,-97.70706300042266,30.23043899981994
Gum Bumelia,14.0,-97.70654100049808,30.230474999861695
Elm,8.0,-97.70684500002774,30.23052300009465
Elm,8.0,-97.70666800013892,30.23052400029695
Gum Bumelia,12.0,-97.70676100004123,30.230585000282854
Mesquite,16.0,-97.70688200021198,30.230649999678803
Elm,13.0,-97.76060300017046,30.239176999682204
Oak,5.0,-97.76053900015724,30.239223000265724
Oak,9.0,-97.76061900029102,30.239245999635404
Oak,29.0,-97.76079800005941,30.23932000029687
Sycamore,9.0,-97.76093400035113,30.239337999956355
Redbud,5.0,-97.76082699967627,30.239357999860978
Oak,11.0,-97.76098000004158,30.23936600010926
Oak,40.0,-97.76026600004114,30.239365999742834
Pecan,5.0,-97.76030599994385,30.239423999600334
Oak,19.0,-97.7610269998152,30.239468000144726
Oak,43.0,-97.76013699979889,30.23949999954851
Sycamore,21.0,-97.76115100030806,30.239521000229093
Oak,19.0,-97.76102000037004,30.239546000075
Oak,18.0,-97.75967499958989,30.239575999557246
Oak,46.0,-97.7600699999739,30.239579000340196
Oak,24.0,-97.7596809996778,30.23964800021163
Oak,12.0,-97.75994300049125,30.239689999905
Oak,24.0,-97.75964299999197,30.239700999722633
Crape Myrtle,10.0,-97.7608680001423,30.23971399984497
Sycamore,19.0,-97.76103700049859,30.23971499977812
Oak,23.0,-97.76068399959873,30.23971600007502
Crape Myrtle,5.0,-97.76084099953967,30.23973499997323
Oak,19.0,-97.7607159996545,30.239756999735082
Crape Myrtle,4.0,-97.76085399947777,30.239760000391865
Crape Myrtle,7.0,-97.76083399966343,30.239765999914475
Crape Myrtle,2.0,-97.76089900022455,30.23977600019495
Oak,10.0,-97.76053499958147,30.23977899983534
Crape Myrtle,3.0,-97.76084700005893,30.239784000020357
Crape Myrtle,4.0,-97.76084800021269,30.239796000421062
Crape Myrtle,3.0,-97.7608650003937,30.23979699963061
Oak,10.0,-97.75932599953813,30.239797000200134
Crape Myrtle,5.0,-97.76087799960322,30.23980099996643
Crape Myrtle,3.0,-97.76090799964788,30.23980499972957
Oak,10.0,-97.75961699969959,30.23980600012904
Crape Myrtle,8.0,-97.76089199974825,30.239819000293487
Crape Myrtle,10.0,-97.7608669997906,30.23982399977827
Oak,16.0,-97.76073800039657,30.23983400028749
Oak,9.0,-97.76053900030755,30.239910000128788
Oak,12.0,-97.76076400048345,30.239919999844894
Oak,14.0,-97.76079700006576,30.239981999771807
Oak,16.0,-97.76056799956682,30.2399989997788
Ashe Juniper,15.0,-97.75969900019601,30.240019000082047
Privet,20.0,-97.75975400031626,30.240046000351153
Oak,14.0,-97.76061100025656,30.240049000139212
Mesquite,14.0,-97.75983699958502,30.240059000310097
Oak,11.0,-97.76041600045194,30.240060999844356
Chinaberry,4.0,-97.76041800024251,30.24016099990279
Oak,10.0,-97.76060300036737,30.24016999973889
Sycamore,11.0,-97.76074099978091,30.240183999973848
Privet,8.0,-97.76046700035822,30.240219000014672
Sycamore,12.0,-97.76068700019697,30.240252999911462
Ash,5.0,-97.71924599993068,30.243862000416392
Ash,12.0,-97.69544099960817,30.246057999665467
Cypress,7.5,-97.76208700026255,30.2484810002204
Oak,12.0,-97.76223500044631,30.248497000401883
Oak,10.0,-97.76216600038829,30.248507000332012
Chitalpa,14.0,-97.76210699953218,30.248514000332257
Oak,5.5,-97.76275899996743,30.24864500044385
Chitalpa,11.0,-97.76191399978549,30.248779000185497
Cypress,4.0,-97.76268300050864,30.248786000343102
Cypress,5.5,-97.76266999962014,30.248794000349825
Cypress,5.0,-97.76267099979498,30.248813000160975
Cypress,5.0,-97.76266500014594,30.24882700042928
Ash,4.0,-97.76188600050222,30.24883000037918
Cypress,5.0,-97.76265000022354,30.24883400023466
Oak,4.0,-97.76214399971069,30.24887999969267
Cypress,5.0,-97.76262699962837,30.248888000096237
Cypress,5.0,-97.76262299980714,30.248905000156036
Cypress,5.0,-97.76261500025568,30.248920999570558
Elm,4.0,-97.76206599996858,30.24895900017449
Oak,4.0,-97.76251499966874,30.248987999900137
Ash,5.0,-97.76181599973532,30.248994999635364
Elm,4.0,-97.7620609999364,30.248998999647316
Oak,4.0,-97.76230400021181,30.249005000138073
Ash,4.0,-97.76181300026452,30.249027000342846
Elm,4.0,-97.76203400003916,30.249033000063452
Oak,5.0,-97.76255799991358,30.24906599992972
Oak,2.0,-97.76245299965866,30.24906699955606
Cypress,7.0,-97.7626529997988,30.24907299997668
Ash,4.5,-97.76177500027833,30.249074999819733
Oak,4.0,-97.7625160003916,30.24908399969163
Cypress,7.0,-97.76268699975188,30.249083999548215
Oak,5.0,-97.76226299978768,30.249091999874405
Oak,5.0,-97.76198000045291,30.24909900040439
Cypress,7.0,-97.76271100018133,30.249100000427916
Cypress,6.0,-97.76274499999316,30.249107999712795
Cypress,6.0,-97.76276800035602,30.24911299998424
Oak,21.0,-97.76176700009815,30.249134999804895
Oak,18.0,-97.7611569995814,30.24913500002377
Ash,3.0,-97.76176900048087,30.249182000256198
Oak,23.0,-97.76166999948872,30.249184000349867
Oak,16.0,-97.76170399949085,30.249190000338327
Cypress,5.0,-97.76239799965877,30.249191000218627
Cypress,4.0,-97.76260500016149,30.249251999634538
Ash,5.0,-97.76212100001834,30.249273999841297
Oak,5.0,-97.76219200050544,30.249274999850474
Oak,22.0,-97.76196200024431,30.249283999762483
Elm,4.0,-97.76252799974496,30.24929299960793
Cypress,3.0,-97.76268900036607,30.24931199961831
Elm,4.0,-97.76260599983112,30.249314000274023
Ash,6.0,-97.76238399991969,30.24936900017385
Ash,5.0,-97.76263800046854,30.249413999577722
Ash,6.0,-97.76253999990173,30.24941800014912
Ash,7.0,-97.76263000037383,30.24943399994292
Pecan,22.0,-97.76245400015017,30.249433999824536
Cypress,6.0,-97.68924000017198,30.250342999665044
Elm,7.0,-97.68940299977895,30.25065199978406
Elm,7.0,-97.68933100007472,30.25065699991035
Elm,6.0,-97.68948099992353,30.250660999795638
Mesquite,31.0,-97.69101999952032,30.25081799984496
Oak,27.0,-97.6895290000049,30.25081800044691
Oak,33.0,-97.68993600026893,30.250836999967753
Oak,25.0,-97.6898130003865,30.250846000276212
Elm,15.0,-97.69046100040505,30.250869999803854
Oak,23.0,-97.6900709996998,30.25088100032701
Oak,6.0,-97.89353699996703,30.250891999983516
Mexican Plum,5.0,-97.69055099997422,30.250918999740044
Oak,5.0,-97.6892370003624,30.250927000262106
Mexican Plum,6.0,-97.69059000020616,30.2509399997767
Mexican Plum,7.0,-97.6907279999555,30.250943999691135
Oak,45.0,-97.69080600043466,30.25095600011215
Oak,39.0,-97.68892600024328,30.25095900037648
Pecan,18.0,-97.68952300027098,30.250967999749385
Cypress,5.0,-97.69036199974146,30.250973999774075
Pecan,14.0,-97.68950700043547,30.250979000368986
Oak,5.0,-97.89386700045264,30.25098199980613
Elm,7.0,-97.68830200041802,30.250987000203363
Oak,4.0,-97.8934820001779,30.25099400024209
Oak,25.0,-97.69127899978918,30.25099799957544
Catalpa,40.0,-97.68977399958239,30.251012000350848
Oak,6.0,-97.6887260001675,30.25102300020087
Elm,8.0,-97.68844299987633,30.25105300004985
Mesquite,19.0,-97.6883289996714,30.251052999719988
Oak,7.0,-97.89348699973601,30.251057000173972
Oak,7.0,-97.68871900003468,30.2510770003323
Sycamore,21.0,-97.68886300013509,30.25108700042258
Oak,4.0,-97.89378999970155,30.251092999593943
Oak,35.0,-97.68921099963282,30.251096999720072
Elm,4.0,-97.68851699965431,30.25109900014836
Elm,7.0,-97.68857400020893,30.25111200041502
Oak,9.0,-97.68870700033962,30.251122999883453
Elm,6.0,-97.89377899959008,30.251137999591258
Oak,24.0,-97.69082700039766,30.25113900035897
Oak,7.0,-97.8939819998178,30.251158000168786
Oak,8.0,-97.68948799978108,30.251167999849766
Elm,2.0,-97.69079499968318,30.251179999974553
Oak,7.0,-97.89342599991342,30.251181000020168
Oak,21.0,-97.68954300030582,30.251190999760865
Oak,9.0,-97.89394400022016,30.251205999692097
Oak,34.0,-97.69053099974889,30.251215000146086
Elm,2.0,-97.6902249997467,30.251216999658528
Elm,4.5,-97.69137300035803,30.251241000058595
Elm,5.0,-97.89373000011066,30.25124599999961
Oak,8.0,-97.6886050001239,30.251252000309
Elm,2.0,-97.69081499951255,30.251260999596898
Oak,9.0,-97.89400700025404,30.25128399958237
Elm,3.0,-97.691013999527,30.251289000268105
Oak,9.0,-97.68859199990797,30.25129100041746
Oak,7.0,-97.69021300029719,30.25129399958339
Soapberry,4.0,-97.68837000042834,30.251299000447602
Mesquite,11.0,-97.6883789999975,30.25130000017422
Soapberry,4.0,-97.68836500032735,30.25130099969139
Crape Myrtle,15.0,-97.69135800008608,30.251315000135236
Mesquite,8.0,-97.68837200041814,30.25133500041
Oak,8.0,-97.68882000039939,30.251338000325166
Mesquite,19.0,-97.68845699986471,30.25135900003932
Elm,2.0,-97.69079399998598,30.251369999847178
Oak,9.0,-97.68856200007902,30.25137999983223
Elm,3.0,-97.69108000021089,30.251381999709675
Oak,5.0,-97.68997199975654,30.251385999960647
Elm,6.0,-97.89399900036373,30.251389000046256
Cypress,6.0,-97.69052099960045,30.251392999884036
Oak,6.0,-97.6904289997815,30.251398000420707
Oak,7.0,-97.68854800013321,30.251410000008043
Mesquite,13.0,-97.68836199996521,30.251410000347537
Elm,3.0,-97.69103899996861,30.25143400020466
Pecan,26.0,-97.68982800007235,30.251435000408396
Oak,7.0,-97.68856699988612,30.251444000297916
Elm,2.0,-97.69076799990262,30.25144900028334
Oak,5.0,-97.89327800010679,30.251473000178223
Mesquite,36.0,-97.68841900028747,30.25148900040075
Chinaberry,5.0,-97.68847499975145,30.25148899972619
Elm,3.0,-97.6910359999622,30.25149299984746
Mesquite,24.0,-97.68834799971374,30.251497000178357
Chinaberry,11.0,-97.68846599989756,30.251500000361
Oak,9.0,-97.68854999975575,30.251501000029446
Elm,6.0,-97.8941910004523,30.251508999846443
Chinaberry,6.0,-97.68846599989773,30.251516999743313
Sycamore,2.0,-97.690334999648,30.251520999662706
Elm,2.0,-97.69073499994863,30.251530000308623
Chinaberry,8.0,-97.68847399965553,30.251531999544383
Pine Spp.,12.0,-97.69093099986121,30.25156099998475
Oak,8.0,-97.68894599973568,30.251575000293624
Texas Mountain Laurel,11.0,-97.73330199986938,30.251595000396026
Pecan,18.0,-97.69122699962448,30.251596999826756
Texas Mountain Laurel,8.0,-97.7333189996927,30.251604999567583
Texas Mountain Laurel,12.0,-97.73327700003091,30.251605999680702
Sycamore,2.0,-97.69037600007343,30.251609999727687
Texas Mountain Laurel,6.0,-97.7333330004227,30.251610000254882
Pecan,35.0,-97.69123799977577,30.251611000162207
Texas Mountain Laurel,12.0,-97.73326699963336,30.251621000278195
Oak,7.0,-97.89364499963976,30.251626999742715
Pecan,24.0,-97.68899000035229,30.251638999972627
Texas Mountain Laurel,8.0,-97.73340400030692,30.251638999604804
Pine Spp.,24.0,-97.69058200022101,30.25163999980353
Texas Mountain Laurel,10.0,-97.73327600039453,30.251641000188087
Oak,6.0,-97.68862099969344,30.251647999586304
Texas Mountain Laurel,8.0,-97.7334349999304,30.25165500011686
Texas Mountain Laurel,9.0,-97.7332739995484,30.251662000390873
Elm,6.0,-97.69077199960708,30.251663000223683
Texas Mountain Laurel,6.0,-97.73350700041735,30.251691000232356
Texas Mountain Laurel,8.0,-97.73351800044809,30.251694999763608
Elm,6.0,-97.89406699976075,30.25169600003453
Pecan,18.0,-97.69063299969211,30.25170200019198
Oak,7.0,-97.68861300049991,30.251707999574734
Elm,3.0,-97.68850999955079,30.251709999611037
Elm,8.0,-97.89421600024762,30.25171700045498
Texas Mountain Laurel,13.0,-97.73356200017633,30.251718000044427
Texas Mountain Laurel,6.0,-97.73359199984421,30.25172199983113
Sycamore,24.0,-97.69129900024494,30.251723000013722
Cypress,4.0,-97.68913300025426,30.251730000241096
Texas Mountain Laurel,6.0,-97.73363700002287,30.25173999975718
Cypress,6.0,-97.68896700001078,30.251744999864158
Cypress,6.0,-97.68901999958868,30.251745999995304
Gum Bumelia,8.0,-97.68882399962,30.251747000152758
Elm,5.0,-97.89407700021304,30.251754999558926
Oak,32.0,-97.68923600004076,30.25176300004837
