,sensor_index,canopy_coverage_area,buffer_area,canopy_coverage_percentage
0,2796,13111729.215125099,18278061.560486313,71.73479075850231
1,2806,6015267.569677192,18278061.560486313,32.909767536186955
2,2862,12173630.696671756,18278061.560486313,66.60241654393388
3,4041,9475078.664809823,18278061.560486313,51.83853130954071
4,14983,7225209.035100381,18278061.560486313,39.52940529930103
5,15101,9321286.12052924,18278061.560486313,50.997126197890076
6,15103,9010994.905365862,18278061.560486313,49.29951064857948
7,15105,9311961.484519308,18278061.560486313,50.946110744314346
8,15233,3996066.170408572,18278061.560486313,21.8626365667096
9,16407,4845101.009057574,18278061.560486313,26.507739855367152
10,20007,6713334.530468666,18278061.560486313,36.72891957526621
11,21861,6891779.602245842,18278061.560486313,37.70519964296737
12,22651,6705917.142441064,18278061.560486313,36.68833875107402
13,26125,9185226.393121928,18278061.560486313,50.25273803092249
14,26513,6569934.183536157,18278061.560486313,35.94437058762896
15,27183,4638218.222485045,18278061.560486313,25.375875921722407
16,27187,5869855.730515957,18278061.560486313,32.11421359475814
17,27395,4238888.199492591,18278061.560486313,23.19112552206444
18,27453,5883616.532847753,18278061.560486313,32.18949949029065
19,27455,4185341.7042653346,18278061.560486313,22.898170522158903
20,27461,2545175.517432118,18278061.560486313,13.92475623856253
21,27463,5120092.152570879,18278061.560486313,28.012227312110287
22,27485,4785747.481834553,18278061.560486313,26.18301435301229
23,27491,4075522.2969013625,18278061.560486313,22.29734418726253
24,27511,3590303.8589537754,18278061.560486313,19.642694861665902
25,27519,3934213.538607126,18278061.560486313,21.524238364051396
26,27533,2805624.35946259,18278061.560486313,15.349682186910977
27,27539,3622262.2273272113,18278061.560486313,19.817540363021056
28,27547,3583780.452738411,18278061.560486313,19.60700504743819
29,27563,3034865.225133324,18278061.560486313,16.603868058383853
30,27567,5691415.517947564,18278061.560486313,31.137960111981023
31,27569,3328526.826549109,18278061.560486313,18.210502331082797
32,27571,3783118.694394733,18278061.560486313,20.697592476508092
33,27573,2891150.058793127,18278061.560486313,15.817596681276328
34,27897,5315696.566228793,18278061.560486313,29.082386820057092
35,28095,5376677.345778632,18278061.560486313,29.41601508445504
36,28831,6245581.847974441,18278061.560486313,34.16982609072834
37,29667,2102696.253809288,18278061.560486313,11.503934631421293
38,29671,1973519.7657403233,18278061.560486313,10.797204939974035
39,29675,2194820.5378049975,18278061.560486313,12.007950244296044
40,29685,3163219.77885523,18278061.560486313,17.306100914407185
41,29695,2885049.723101839,18278061.560486313,15.784221502671633
42,29701,1823970.48401458,18278061.560486313,9.979014886117119
43,29715,7255785.779879911,18278061.560486313,39.69669188315646
44,29733,1615950.5373120292,18278061.560486313,8.840929504282919
45,29735,1906653.4383675053,18278061.560486313,10.43137660992086
46,29743,1902941.9735488992,18278061.560486313,10.41107103864174
47,29751,1947703.0875745355,18278061.560486313,10.655960869423367
48,29763,7731802.736872436,18278061.560486313,42.300999541368874
49,29765,2037597.7652816994,18278061.560486313,11.147778217831357
50,29769,1747946.5350785349,18278061.560486313,9.563084845152629
51,29771,1921775.5668524085,18278061.560486313,10.514110374849164
52,29773,1825120.2698097622,18278061.560486313,9.985305409821601
53,29775,2623577.351503226,18278061.560486313,14.353695783446208
54,29777,1869960.7865394186,18278061.560486313,10.230629655947311
55,29779,6168726.042477933,18278061.560486313,33.749344929516724
56,29781,1810876.961226109,18278061.560486313,9.907379703441201
57,29785,1818439.7596388764,18278061.560486313,9.948756073619954
58,29787,2744456.288323687,18278061.560486313,15.015029242798256
59,29789,1599427.9909190512,18278061.560486313,8.750533997416387
60,29793,2820921.6532954485,18278061.560486313,15.433374288407824
61,29807,1788991.2711328457,18278061.560486313,9.787642224601672
62,29809,1782666.5513110901,18278061.560486313,9.7530394315165
63,29885,3278878.1284115002,18278061.560486313,17.938872333704197
64,30001,1780302.144892633,18278061.560486313,9.740103670190646
65,30003,1803317.6846449268,18278061.560486313,9.866022601342781
66,30017,1820587.4427628145,18278061.560486313,9.960506133202756
67,30047,1886769.9789833082,18278061.560486313,10.322593414731381
68,30061,3689456.297185475,18278061.560486313,20.18516178521565
69,30065,3220401.277038002,18278061.560486313,17.618943159705164
70,30067,3242975.325355284,18278061.560486313,17.742446673699682
71,30069,1753343.9583748956,18278061.560486313,9.592614362155839
72,30077,1819306.6946134893,18278061.560486313,9.95349910926268
73,30079,1906387.0373252397,18278061.560486313,10.429919119248867
74,30081,1885024.8380871206,18278061.560486313,10.313045679647919
75,30083,1797811.643042136,18278061.560486313,9.835898829275541
76,30085,2197716.6637591086,18278061.560486313,12.02379506429803
77,30087,1902232.41101505,18278061.560486313,10.407188993866363
78,30091,2216299.9179548863,18278061.560486313,12.125464785314568
79,30093,1875649.3468724526,18278061.560486313,10.261751995229346
80,30095,1904153.3525398185,18278061.560486313,10.41769854116388
81,30107,3238006.426570864,18278061.560486313,17.71526163130349
82,30109,2652905.3931632205,18278061.560486313,14.514150662990962
83,30689,4426784.440703964,18278061.560486313,24.219113312725835
84,34435,4871096.968113236,18278061.560486313,26.649964778779495
85,39123,0.0,18278061.560486313,0.0
86,39167,9506238.762886437,18278061.560486313,52.00900944242969
87,43425,6829289.775246634,18278061.560486313,37.36331532010078
88,43597,6282847.821327856,18278061.560486313,34.373709709514145
89,43601,8539782.554185813,18278061.560486313,46.721489179395235
90,43613,6690671.956462409,18278061.560486313,36.604931733714956
91,49065,6179931.663382662,18278061.560486313,33.810651326082066
92,49081,2750845.1425029393,18278061.560486313,15.049982917497895
93,49083,2826070.7108113207,18278061.560486313,15.46154498637179
94,49085,2753605.33363811,18278061.560486313,15.065084032712091
95,52617,8581114.806545414,18278061.560486313,46.94761957195806
96,65197,9378240.00800331,18278061.560486313,51.30872317597003
97,76047,5698789.253004771,18278061.560486313,31.178302109040203
98,78031,4363247.859275433,18278061.560486313,23.87150215484526
99,85861,12291500.88439485,18278061.560486313,67.24728901759875
100,87765,9596608.28633499,18278061.560486313,52.50342469072885
101,91067,14944792.162138676,18278061.560486313,81.76355087044061
102,91101,8126908.422822403,18278061.560486313,44.46263842546209
103,96149,6865257.791084385,18278061.560486313,37.56009776182046
104,96355,10007013.370710587,18278061.560486313,54.748767190629465
105,96937,4901770.104619954,18278061.560486313,26.817778725598817
106,102148,8802668.714659756,18278061.560486313,48.15974979365125
107,102426,4282873.366412995,18278061.560486313,23.43177011544677
108,102762,9071508.873733876,18278061.560486313,49.630584970480406
109,105154,6060543.0899734665,18278061.560486313,33.15747170408489
110,110162,8453861.145730585,18278061.560486313,46.251409744708496
111,110626,12211644.461518917,18278061.560486313,66.81039135965143
112,113468,8381643.097466667,18278061.560486313,45.856301937324595
113,113929,6575832.011650716,18278061.560486313,35.97663783924665
114,113933,3459799.6166391745,18278061.560486313,18.928700974060632
115,114061,3425837.7552469256,18278061.560486313,18.742894282908722
116,114395,6084115.702972991,18278061.560486313,33.28643840507514
117,119083,9169846.951024707,18278061.560486313,50.16859649301198
118,121049,4767246.457906241,18278061.560486313,26.081794517051627
119,121359,4821657.124704799,18278061.560486313,26.37947743391073
120,121375,5973799.840705039,18278061.560486313,32.68289594570169
121,121379,7515818.901137864,18278061.560486313,41.119343406664264
122,121381,5917897.573343253,18278061.560486313,32.377052422980235
123,121415,6538455.037192743,18278061.560486313,35.77214692901373
124,121417,9285553.763203483,18278061.560486313,50.80163305323953
125,121827,6016246.045672167,18278061.560486313,32.9151208171776
126,122085,13185288.871076688,18278061.560486313,72.13723855477525
127,122873,8357225.589038942,18278061.560486313,45.72271277992449
128,122923,6337915.3300541,18278061.560486313,34.674986234620555
129,122939,9187935.135553056,18278061.560486313,50.267557668235575
130,123159,9181064.151874524,18278061.560486313,50.229966243916344
131,124599,5506691.00519629,18278061.560486313,30.12732497356671
132,130825,8121356.700111864,18278061.560486313,44.43226473024191
133,131835,2026729.196072998,18278061.560486313,11.088315844467886
134,133822,5545599.752461558,18278061.560486313,30.340196273603148
135,134442,5533493.230875756,18278061.560486313,30.27396101366741
136,135084,4958007.829271553,18278061.560486313,27.125457548462478
137,135100,7751575.048269578,18278061.560486313,42.40917464151126
138,137762,7858858.668507576,18278061.560486313,42.99612758443123
139,138056,8317624.514450932,18278061.560486313,45.50605372963647
140,144890,5626841.707401916,18278061.560486313,30.784674232447472
141,144888,4889158.213581694,18278061.560486313,26.74877856933759
142,144892,6153454.529334418,18278061.560486313,33.66579387519415
143,148203,8669385.692178668,18278061.560486313,47.43055308950391
144,149298,9979507.77137538,18278061.560486313,54.598282965351075
145,151672,5160305.695128774,18278061.560486313,28.232237198961908
146,151690,7311508.291078685,18278061.560486313,40.001551952778044
147,152286,8208449.856127683,18278061.560486313,44.90875484232304
148,152538,2142962.0464868452,18278061.560486313,11.724230380750663
149,152572,1495544.8638540814,18278061.560486313,8.182185287564435
150,152836,6561478.825272968,18278061.560486313,35.89811098709524
151,152976,7000210.11092255,18278061.560486313,38.29842725803961
152,153648,3525596.8792357533,18278061.560486313,19.288680408306654
153,153658,2052183.2145234381,18278061.560486313,11.227575789326956
154,153670,4609072.946535242,18278061.560486313,25.21642096062954
155,153678,3446359.3719564346,18278061.560486313,18.855168862144588
156,153676,7217228.556883346,18278061.560486313,39.48574378634122
157,153704,3831455.2707430916,18278061.560486313,20.96204380351781
158,153710,4245280.342519004,18278061.560486313,23.226097190177384
159,156033,8176452.383074286,18278061.560486313,44.733695397712296
160,156355,6825759.058681068,18278061.560486313,37.34399862968543
161,156357,6036115.693810135,18278061.560486313,33.02382845049098
162,156663,1751705.3591574174,18278061.560486313,9.583649520823755
163,156673,9236969.245104764,18278061.560486313,50.535825227076224
164,156889,2732885.6381260008,18278061.560486313,14.951725756488198
165,156897,10582928.645369643,18278061.560486313,57.899622508373206
166,159865,6758296.888204813,18278061.560486313,36.97491041837261
167,160059,6000664.142379261,18278061.560486313,32.829871606032626
168,161583,2903647.040277042,18278061.560486313,15.885968162806574
169,161581,3056085.130825693,18278061.560486313,16.719963004350344
170,165295,8235950.601490915,18278061.560486313,45.05921251132818
171,166029,11787295.58987749,18278061.560486313,64.48876184638407
172,184011,10101634.981690641,18278061.560486313,55.26644577851981
173,192347,1776266.912498781,18278061.560486313,9.718026753661512
174,193303,4001807.270127173,18278061.560486313,21.894046351054634
175,196879,9927571.224758025,18278061.560486313,54.31413605816682
176,198537,4336472.492482881,18278061.560486313,23.725013060780515
177,198787,8123254.716789113,18278061.560486313,44.44264885478908
178,198817,463369.39826365607,18278061.560486313,2.535112362600706
179,203555,9181755.102449868,18278061.560486313,50.233746461928284
180,203723,3884842.940896796,18278061.560486313,21.254129865144378
181,204791,3172613.5787691697,18278061.560486313,17.357494766445893
182,209101,8106389.02101712,18278061.560486313,44.350375964055125
183,211261,6011811.666271374,18278061.560486313,32.890860151536884
184,211375,2703787.1577995233,18278061.560486313,14.792526816107218
185,213569,6963085.688343044,18278061.560486313,38.095318069154054
186,213765,12815321.989822263,18278061.560486313,70.1131350685816
187,213789,6554043.799036939,18278061.560486313,35.85743366356492
188,222223,14141816.68236616,18278061.560486313,77.370440161653
189,236401,5189985.886095135,18278061.560486313,28.394618701333705
190,244811,6535185.889774715,18278061.560486313,35.754261293782605
