,sensor_index,canopy_coverage_area,buffer_area,canopy_coverage_percentage
0,2796,13110849.388195958,18278061.560486313,71.72997719046487
1,2806,6017533.827584419,18278061.560486313,32.92216632311372
2,2862,12172522.033345234,18278061.560486313,66.59635100288702
3,4041,9475800.243926156,18278061.560486313,51.842479097515636
4,14983,7228685.413334517,18278061.560486313,39.54842470254919
5,15101,9319691.317639401,18278061.560486313,50.988400968004164
6,15103,9009361.171151794,18278061.560486313,49.29057242387408
7,15105,9310223.290133813,18278061.560486313,50.9366010138665
8,15233,3996963.8584312694,18278061.560486313,21.867547853498557
9,16407,4846369.01738849,18278061.560486313,26.514677179255248
10,20007,6714213.7488751635,18278061.560486313,36.73372981405213
11,21861,6892762.574367714,18278061.560486313,37.710577522446656
12,22651,6706601.768489074,18278061.560486313,36.692084367345984
13,26125,9186013.184451124,18278061.560486313,50.25704259750133
14,26513,6571859.0769846905,18278061.560486313,35.95490175605819
15,27183,4639673.489826536,18278061.560486313,25.383837747087068
16,27187,5879227.973779793,18278061.560486313,32.165489509508845
17,27395,4240460.2180220485,18278061.560486313,23.199726097810697
18,27453,5884536.195448161,18278061.560486313,32.19453100086613
19,27455,4186834.1342340084,18278061.560486313,22.90633566573135
20,27461,2546739.4014004143,18278061.560486313,13.933312309801932
21,27463,5120891.505728293,18278061.560486313,28.016600604949733
22,27485,4790193.3286962155,18278061.560486313,26.2073377575864
23,27491,4077676.163082568,18278061.560486313,22.309128074596966
24,27511,3594103.9981733756,18278061.560486313,19.663485574111117
25,27519,3935945.8372086296,18278061.560486313,21.533715838431107
26,27533,2807706.2338975025,18278061.560486313,15.361072204545085
27,27539,3627231.360585553,18278061.560486313,19.844726688233376
28,27547,3585764.419900549,18278061.560486313,19.61785941049837
29,27563,3036928.4621302155,18278061.560486313,16.615156109855086
30,27567,5692384.3787783,18278061.560486313,31.143260788026616
31,27569,3332939.6977691622,18278061.560486313,18.23464532461332
32,27571,3786842.329498651,18278061.560486313,20.717964631901026
33,27573,2893522.4277471104,18278061.560486313,15.830576005949967
34,27897,5316834.402560826,18278061.560486313,29.08861196777458
35,28095,5384411.877573814,18278061.560486313,29.4583310147827
36,28831,6247804.172744891,18278061.560486313,34.18198451772071
37,29667,2104351.754003186,18278061.560486313,11.512991938665932
38,29671,1975089.7553125643,18278061.560486313,10.805794415214862
39,29675,2196661.238853125,18278061.560486313,12.018020792762226
40,29685,3164938.4136222764,18278061.560486313,17.315503633406458
41,29695,2886673.4219572027,18278061.560486313,15.7931048235314
42,29701,1826199.2407591064,18278061.560486313,9.991208502694844
43,29715,7256774.840176807,18278061.560486313,39.70210307128285
44,29733,1618061.2011481097,18278061.560486313,8.852477029873068
45,29735,1908385.7943159759,18278061.560486313,10.440854398048108
46,29743,1904477.0032405849,18278061.560486313,10.419469246988978
47,29751,1949331.953978906,18278061.560486313,10.664872462148779
48,29763,7732679.070361788,18278061.560486313,42.305793996658636
49,29765,2039688.694792399,18278061.560486313,11.159217776144366
50,29769,1749997.010010065,18278061.560486313,9.574303074857921
51,29771,1923555.658851747,18278061.560486313,10.52384932880469
52,29773,1826773.0552098919,18278061.560486313,9.994347864321822
53,29775,2625302.1020418145,18278061.560486313,14.363131962074235
54,29777,1872132.3666624343,18278061.560486313,10.242510456960204
55,29779,6169556.142331991,18278061.560486313,33.75388643875342
56,29781,1812645.2728742207,18278061.560486313,9.917054206627766
57,29785,1820120.1359318465,18278061.560486313,9.957949478989606
58,29787,2745751.3220867626,18278061.560486313,15.022114423897959
59,29789,1601493.2681297837,18278061.560486313,8.761833210978494
60,29793,2822303.2790983375,18278061.560486313,15.440933217992983
61,29807,1790713.638035121,18278061.560486313,9.797065362260856
62,29809,1784460.4312338424,18278061.560486313,9.762853819748074
63,29885,3280529.4164893692,18278061.560486313,17.94790659629492
64,30001,1782572.7290096506,18278061.560486313,9.752526125982818
65,30003,1805163.125450915,18278061.560486313,9.876119081212275
66,30017,1822260.9666371397,18278061.560486313,9.969662048718124
67,30047,1888312.4765189516,18278061.560486313,10.331032479949204
68,30061,3690981.1411741446,18278061.560486313,20.19350426717756
69,30065,3222025.572378963,18278061.560486313,17.6278297439613
70,30067,3244505.3796944506,18278061.560486313,17.750817661695883
71,30069,1755677.2759673174,18278061.560486313,9.60538003528097
72,30077,1821319.8412567864,18278061.560486313,9.964513114422006
73,30079,1908362.298021139,18278061.560486313,10.440725848886814
74,30081,1886578.176216805,18278061.560486313,10.321544054185852
75,30083,1799621.4434443936,18278061.560486313,9.845800319082151
76,30085,2199298.2387144896,18278061.560486313,12.032447923629677
77,30087,1903766.4008170068,18278061.560486313,10.415581512935635
78,30091,2218211.2466007536,18278061.560486313,12.135921740170215
79,30093,1877507.5910875986,18278061.560486313,10.271918523058334
80,30095,1906087.1399358327,18278061.560486313,10.428278368732656
